projectid,project_oid,subject,body,category,category_name,area,area_name,region,region_name,company_ad,price,rooms,size,ward,ward_name,price_million_per_m2,location,longitude,latitude,zero_deposit,street_name,area_v2,web_url,facilities_key,surrounding_key,investor_id,investor_name
4888,1167970029,8684,8028,1010,0,17,73,3,41,True,1700000000.0,2.0,52.0,6889.0,139,32.69230769230769,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,8684,7815,1010,0,17,73,3,41,True,1900000000.0,2.0,50.0,6889.0,139,38.0,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,7886,9318,1010,0,17,73,3,41,True,9990000000.0,11.0,96.0,6889.0,139,104.0625,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,4935,7693,1010,0,17,73,3,41,True,850000000.0,1.0,35.0,6889.0,139,24.285714285714285,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,2953,3736,1010,0,17,73,3,41,True,1450000000.0,1.0,29.0,6889.0,139,50.0,1543,108.246,16.0463,False,567,73,1074,577,116,1498,432
4888,1167970029,8613,536,1010,0,17,73,3,41,True,850000000.0,2.0,50.0,6889.0,139,17.0,1543,108.246,16.0463,False,567,73,1074,577,116,1498,432
4888,1167970029,8699,581,1010,0,17,73,3,41,True,3800000000.0,2.0,83.1998,6889.0,139,45.67318671439114,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,4705,9876,1010,0,17,73,3,41,False,3300000000.0,2.0,60.0,6889.0,139,55.0,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,5708,4547,1010,0,17,73,12,41,True,2100000000.0,2.0,50.0,6889.0,139,42.0,1546,108.23,16.0503,False,232,73,1074,577,116,1498,432
4888,1167970029,7882,7272,1010,0,17,73,12,41,True,2900000000.0,2.0,50.0,6889.0,139,58.0,1549,108.2349,16.051,False,746,73,1074,577,116,1498,432
4888,1167970029,8713,7816,1020,1,17,73,3,41,False,17900000000.0,11.0,100.0,6889.0,139,179.0,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,447,7869,1010,0,17,73,3,41,True,50000000.0,2.0,68.0,6889.0,139,0.7352941176470589,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,5218,4147,1010,0,17,73,12,41,True,18000000000.0,4.0,244.0,6889.0,139,73.77049180327869,1544,108.2387,16.0473,False,1028,73,1074,577,116,1498,432
4888,1167970029,7900,6249,1010,0,17,73,3,41,True,5555555000.0,3.0,51.0,6889.0,139,108.93245098039216,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,4857,7355,1010,0,17,73,3,41,True,3500000000.0,2.0,49.0,6889.0,139,71.42857142857143,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,8701,7692,1010,0,17,73,3,41,True,1900000000.0,2.0,52.0,6889.0,139,36.53846153846154,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,9952,7695,1010,0,17,73,3,41,False,2450000000.0,1.0,39.7999,6889.0,139,61.55794361292365,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,5705,6254,1010,0,17,73,3,41,True,6400000000.0,2.0,100.0,6889.0,139,64.0,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,8772,7690,1010,0,17,73,3,41,True,2400000000.0,2.0,50.0,6889.0,139,48.0,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,8815,9698,1010,0,17,73,3,41,True,1700000000.0,2.0,52.0,6889.0,139,32.69230769230769,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,8774,3833,1010,0,17,73,3,41,True,1900000000.0,2.0,52.0,6889.0,139,36.53846153846154,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,9959,9054,1010,0,17,73,3,41,True,870000000.0,2.0,52.0,6889.0,139,16.73076923076923,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,4609,4164,1010,0,17,73,3,41,True,1700000000.0,2.0,52.0,6889.0,139,32.69230769230769,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,4932,4698,1010,0,17,73,3,41,True,590000000.0,2.0,52.0,6889.0,139,11.346153846153848,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,10159,9414,1010,0,17,73,3,41,True,870000000.0,2.0,52.0,6889.0,139,16.73076923076923,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,4003,2922,1010,0,17,73,3,41,True,2400000000.0,2.0,50.0998,6889.0,139,47.90438285182775,1543,108.246,16.0463,False,567,73,1074,577,116,1498,432
4888,1167970029,5790,4564,1010,0,17,73,3,41,True,1700000000.0,2.0,52.0,6889.0,139,32.69230769230769,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,5902,8400,1010,0,17,73,3,41,True,1700000000.0,2.0,50.0,6889.0,139,34.0,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,8612,7355,1010,0,17,73,3,41,True,2700000000.0,2.0,50.0,6889.0,139,54.0,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,8477,3837,1010,0,17,73,3,41,True,750000000000.0,2.0,50.0,6889.0,139,15000.0,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,7895,7274,1010,0,17,73,3,41,True,889000000.0,2.0,54.0,6889.0,139,16.462962962962962,1543,108.246,16.0463,False,567,73,1074,577,116,1498,432
4888,1167970029,374,9414,1010,0,17,73,3,41,True,1900000000.0,2.0,50.0,6889.0,139,38.0,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,8786,819,1010,0,17,73,3,41,True,2100000000.0,2.0,54.0,6889.0,139,38.888888888888886,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,5889,7850,1010,0,17,73,3,41,True,2100000000.0,2.0,50.0,6889.0,139,42.0,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,5423,8390,1010,0,17,73,3,41,False,2700000000.0,2.0,50.0,6889.0,139,54.0,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,8304,5876,1040,3,17,73,3,41,False,2600000000.0,2.289795498920974,85.0,6889.0,139,30.58823529411765,1543,108.246,16.0463,False,627,73,1074,577,116,1498,432
4888,1167970029,5735,935,1010,0,17,73,3,41,False,3500000000.0,2.0,50.0,6889.0,139,70.0,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,9124,9152,1010,0,17,73,3,41,False,2700000000.0,2.0,50.0,6889.0,139,54.0,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,10098,8962,1010,0,17,73,3,41,False,999000000.0,1.0,50.0,6889.0,139,19.98,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,57,6098,1010,0,17,73,3,41,False,2500000000.0,1.0,35.0,6889.0,139,71.42857142857143,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,8737,9674,1010,0,17,73,3,41,False,9000000000.0,3.0,99.0,6889.0,139,90.9090909090909,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,5737,9898,1010,0,17,73,3,41,False,4200000000.0,2.0,50.0,6889.0,139,84.0,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,5237,4464,1010,0,17,73,3,41,False,3600000000.0,2.0,50.0,6889.0,139,72.0,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,10118,9212,1010,0,17,73,3,41,False,780000000.0,1.0,50.0,6889.0,139,15.6,1543,108.246,16.0463,False,746,73,1074,577,116,1498,432
4888,1167970029,10250,6263,1010,0,17,73,3,41,False,3300000000.0,2.0,50.0,6889.0,139,66.0,1543,108.246,16.0463,False,567,73,1074,577,116,1498,432
4888,1167970029,10286,10118,1010,0,17,73,3,41,False,4100000000.0,2.0,50.0,6889.0,139,82.0,1543,108.246,16.0463,False,567,73,1074,577,116,1498,432
4888,1167970029,8614,8267,1010,0,17,73,3,41,False,900000000.0,1.0,50.0,6889.0,139,18.0,1543,108.246,16.0463,False,567,73,1074,577,116,1498,432
4888,1167970029,10172,3858,1010,0,17,73,3,41,False,3465000000.0,2.0,50.0,6889.0,139,69.3,1543,108.246,16.0463,False,567,73,1074,577,116,1498,432
4888,1167970029,5055,4242,1010,0,17,73,3,41,False,2745000000.0,2.0,50.0,6889.0,139,54.9,1543,108.246,16.0463,False,567,73,1074,577,116,1498,432
4888,1167970029,5738,3836,1010,0,17,73,3,41,False,4100000000.0,2.0,50.0,6889.0,139,82.0,1543,108.246,16.0463,False,567,73,1074,577,116,1498,432
4888,1167970029,5739,907,1010,0,17,73,3,41,False,3100000000.0,2.0,50.0,6889.0,139,62.0,1543,108.246,16.0463,False,567,73,1074,577,116,1498,432
4888,1167970029,5173,908,1010,0,17,73,3,41,False,1200000000.0,2.0,50.0,6889.0,139,24.0,1543,108.246,16.0463,False,567,73,1074,577,116,1498,432
4888,1167970029,4692,9060,1010,0,17,73,3,41,False,960000000.0,1.0,50.0,6889.0,139,19.2,1543,108.246,16.0463,False,567,73,1074,577,116,1498,432
4873,1770059532,6772,6497,1040,3,119,110,13,36,False,10000000000.0,2.289795498920974,73.5,9259.0,123,136.05442176870747,916,106.8594,10.8072,False,554,110,1199,577,112,1949,375
4861,980844120,5767,7623,1010,0,119,110,13,36,True,2300000000.0,1.0,51.0,9250.0,121,45.09803921568628,1270,106.8285,10.8908,False,491,110,1159,577,225,53,520
4861,980844120,5178,8895,1010,0,119,110,13,36,True,3112000000.0,2.0,70.3,9250.0,121,44.2674253200569,1269,106.8284,10.8908,False,491,110,1159,577,225,53,520
4861,980844120,9473,4256,1010,0,119,110,13,36,True,2888000000.0,2.0,59.0,9250.0,121,48.94915254237288,1270,106.8285,10.8908,False,491,110,1159,577,225,53,520
4861,980844120,558,1201,1010,0,119,110,13,36,True,2600000000.0,2.0,59.0,9250.0,121,44.067796610169495,1269,106.8284,10.8908,False,491,110,1159,577,225,53,520
4861,980844120,4984,4221,1010,0,119,110,13,36,True,3445900000.0,2.0,67.0,9250.0,121,51.43134328358209,1268,106.8283,10.8908,False,357,110,1159,577,225,53,520
4861,980844120,7824,9808,1010,0,119,110,13,36,True,2500000000.0,1.0,54.0,9250.0,121,46.2962962962963,1269,106.8284,10.8908,False,491,110,1159,577,225,53,520
4861,980844120,573,1204,1010,0,119,110,13,36,True,3463000000.0,3.0,70.0,9250.0,121,49.47142857142857,1270,106.8285,10.8908,False,491,110,1159,577,225,53,520
4861,980844120,5745,3831,1010,0,119,110,13,36,True,2500000000.0,2.0,55.0,9250.0,121,45.45454545454545,1269,106.8284,10.8908,False,491,110,1159,577,225,53,520
4861,980844120,9474,3820,1010,0,119,110,13,36,False,2849000000.0,1.0,46.0,9250.0,121,61.93478260869565,1270,106.8285,10.8908,False,491,110,1159,577,225,53,520
4861,980844120,1953,7822,1010,0,119,110,13,36,True,3100000000.0,2.0,69.0,9250.0,121,44.927536231884055,1268,106.8283,10.8908,False,491,110,1159,577,225,53,520
4861,980844120,2676,7624,1010,0,119,110,13,36,True,3126000000.0,2.0,69.0,9250.0,121,45.30434782608695,1270,106.8285,10.8908,False,357,110,1159,577,225,53,520
4861,980844120,5440,922,1010,0,119,110,13,36,True,2550000000.0,2.0,59.0,9250.0,121,43.22033898305085,1268,106.8283,10.8908,False,357,110,1159,577,225,53,520
4861,980844120,732,4489,1010,0,119,110,13,36,False,2300000000.0,1.0,50.0,9250.0,121,46.0,1269,106.8284,10.8908,False,491,110,1159,577,225,53,520
4861,980844120,5074,3875,1010,0,119,110,13,36,True,2600000000.0,2.0,59.0,9250.0,121,44.067796610169495,1268,106.8283,10.8908,False,357,110,1159,577,225,53,520
4861,980844120,3460,4769,1010,0,119,110,13,36,False,1700000000.0,1.0,30.0,9250.0,121,56.66666666666666,1268,106.8283,10.8908,False,491,110,1159,577,225,53,520
4861,980844120,5794,10050,1010,0,119,110,13,36,False,6900000000.0,2.0,54.0,9250.0,121,127.77777777777776,1269,106.8284,10.8908,False,491,110,1159,577,225,53,520
4861,980844120,6769,6290,1010,0,119,110,13,36,False,2600000000.0,1.0,37.0,9250.0,121,70.27027027027027,1268,106.8283,10.8908,False,491,110,1159,577,225,53,520
4861,980844120,1830,1659,1010,0,119,110,13,36,False,3900000000.0,2.0,77.0,9250.0,121,50.64935064935065,1269,106.8284,10.8908,False,491,110,1159,577,225,53,520
4859,1155131966,8056,4030,1020,1,10,123,2,1,False,4000000000.0,4.0,35.0,9207.0,164,114.28571428571428,97,107.0449,10.647,False,621,123,1257,567,145,1962,125
4859,1155131966,9211,6948,1040,3,10,123,2,1,False,1800000000.0,2.289795498920974,200000.0,9207.0,164,0.009,96,107.0448,10.647,False,621,123,1257,567,145,1962,125
4851,2133334710,216,3856,1010,0,119,110,13,36,True,1979000000.0,1.0,37.0,9258.0,228,53.48648648648648,1031,106.80831,10.8245,False,389,110,358,577,225,457,201
